Phase-Out:,Net-zero:,Retro-fitting:,Light-weighting:,Modal shift:,Scrap age:,Regulated EV manufacture:,Modal shift rate (years):,Cumulative Electric Emissions,Cumulative Tailpipe Emissions,Cumulative WTT Emissions,Cumulative EV Production Emissions,Cumulative ICE Production Emissions,Cumulative Conversion Production Emissions,Cumulative Electric Energy,Cumulative Tailpipe Energy,Cumulative WTT Energy,Cumulative EV Production Energy,Cumulative ICE Production Energy,Cumulative Conversion Production Energy
2025,2020,0.2,840,-52,10,1,5,1.4156146784146433,27.306883444926026,7.3813818750620985,9.94560549789416,1.0218392440316666,2.408846855928334,77048049512.24446,416375648332.49695,95514289765.11482,192430872000.0,24525956000.0,47939338000
2025,2020,0.2,840,-52,10,1,5,1.6128749871577799,27.306883444926026,7.3813818750620985,9.94560549789416,1.0218392440316666,2.408846855928334,87818280715.05127,416375648332.49695,95514289765.11482,192430872000.0,24525956000.0,47939338000
2025,2020,0.2,840,-52,10,1,5,1.810146456385552,27.306883444926026,7.3813818750620985,9.94560549789416,1.0218392440316666,2.408846855928334,98588511917.85811,416375648332.49695,95514289765.11482,192430872000.0,24525956000.0,47939338000
2025,2020,0.2,840,-52,10,1,5,2.007430186427421,27.306883444926026,7.3813818750620985,9.94560549789416,1.0218392440316666,2.408846855928334,109358743120.66496,416375648332.49695,95514289765.11482,192430872000.0,24525956000.0,47939338000
2025,2020,0.2,840,-52,10,1,5,2.2047000786586395,27.306883444926026,7.3813818750620985,9.94560549789416,1.0218392440316666,2.408846855928334,120128974323.4717,416375648332.49695,95514289765.11482,192430872000.0,24525956000.0,47939338000
2025,2020,0.2,840,-52,10,1,5,2.40195873714553,27.306883444926026,7.3813818750620985,9.95364601722166,1.0218392440316666,2.408846855928334,130899205526.27843,416375648332.49695,95514289765.11482,192586064000.0,24525956000.0,47939338000
2025,2020,0.2,840,-52,10,1,5,2.5991752690911896,27.306883444926026,7.3813818750620985,9.993848613859159,1.0218392440316666,2.408846855928334,141669436729.08514,416375648332.49695,95514289765.11482,193362024000.0,24525956000.0,47939338000
2025,2020,0.2,840,-52,10,1,5,2.7962963142100588,27.306883444926026,7.3813818750620985,10.13053744242666,1.0218392440316666,2.408846855928334,152439667931.89188,416375648332.49695,95514289765.11482,196000288000.0,24525956000.0,47939338000
2025,2020,0.2,840,-52,10,1,5,2.9933190640660556,27.306883444926026,7.3813818750620985,10.41195561888916,1.0218392440316666,2.408846855928334,163209899134.6986,416375648332.49695,95514289765.11482,201432008000.0,24525956000.0,47939338000
2025,2020,0.2,840,-52,10,1,5,3.1903418139220525,27.306883444926026,7.3813818750620985,10.733576391989159,1.0218392440316666,2.408846855928334,173980130337.50534,416375648332.49695,95514289765.11482,207639688000.0,24525956000.0,47939338000
