,Count,Phase-Out:,Net-zero:,Retro-fitting:,Light-weighting:,Modal shift:,Scrap age:,Regulated EV manufacture:,Modal shift rate (years):,Cumulative Electric Emissions,Cumulative Tailpipe Emissions,Cumulative WTT Emissions,Cumulative EV Production Emissions,Cumulative ICE Production Emissions,Cumulative Conversion Production Emissions,Cumulative Electric Energy,Cumulative Tailpipe Energy,Cumulative WTT Energy,Cumulative EV Production Energy,Cumulative ICE Production Energy,Cumulative Conversion Production Energy
0,0,2025,2020,0.2,840,-72,10,1,11,2.4029278245480685,30.01751756196677,8.104253119759697,8.244412526773322,0.4940761179933335,1.7048285771183331,131183360068.13292,457451513914.39935,104932812114.6389,159431816000.0,11858704000.0,33928414000
0,0,2025,2020,0.2,840,-74,10,1,11,2.2331599352220057,29.861741847520744,8.061636966082558,7.7073316812074895,0.4435456059258335,1.6427093172233331,121928611703.81471,455063038256.22156,104375898728.87439,149042072000.0,10645882000.0,32692156000
0,0,2025,2020,0.2,840,-76,10,1,11,2.06539112367063,29.694552690176433,8.016371542531816,7.187965823673324,0.39301509385833344,1.5736879173399998,112779214355.82446,452511860517.8117,103775462891.35426,138970832000.0,9433060000.0,31318536000
0,0,2025,2020,0.2,840,-78,10,1,11,1.8958063375536487,29.535526405740843,7.97370515965366,6.69912809407249,0.34809908313166676,1.5115686574449998,103529141203.42593,450095352411.6162,103202587715.2545,129512240000.0,8354996000.0,30082278000
0,0,2025,2020,0.2,840,-80,10,1,11,1.7274874306383956,29.36623217697375,7.929130928122163,6.465953033574991,0.29756857106416673,1.4356451175733331,94343880838.81879,447544831331.5319,102589569123.30225,125011672000.0,7142174000.0,28571296000
0,0,2025,2020,0.2,840,-82,10,1,11,1.5605834288853575,29.18998726787338,7.881974174799945,6.203883794520825,0.25265256033750005,1.3666237176899998,85233363520.43279,444870036889.3525,101954777066.05933,119906576000.0,6064110000.0,27197676000
0,0,2025,2020,0.2,840,-84,10,1,11,1.390147369832827,29.033187905707873,7.840117073527538,5.978749253350824,0.21335105095166668,1.2837980378299998,75937881560.03548,442492873384.692,101390638965.06586,115561200000.0,5120804000.0,25549332000
0,0,2025,2020,0.2,840,-86,10,1,11,1.2252203415181349,28.841273286418296,7.788969320260128,5.707005545592492,0.1628205388841667,1.2423851978999998,66930268272.5396,439585507458.3684,100698619613.08826,110292792000.0,3907982000.0,24725160000
0,0,2025,2020,0.2,840,-88,10,1,11,1.0579090710526569,28.662942587419348,7.742921434557233,5.45938339581666,0.14036253352083336,1.1733637980166665,57790264876.134926,436922384175.2672,100049575147.35414,105489960000.0,3368950000.0,23351540000
0,0,2025,2020,0.2,840,-90,10,1,11,0.8906863606850872,28.481524980901824,7.6967551374258685,5.187639688058327,0.12351902949833335,1.1250488180983331,48654380525.316734,434230801964.09,99385759915.22238,100221552000.0,2964676000.0,22390006000
0,0,2025,2020,0.2,840,-50,10,1,13,4.373443099144738,32.580324946383826,8.796977993643011,13.319355716690824,1.0667552547583332,2.491672535788334,238520810665.2297,496528368984.1373,114075449298.95752,257595272000.0,25604020000.0,49587682000
0,0,2025,2020,0.2,840,-52,10,1,13,4.203072444683256,32.4947628789637,8.77357966859376,13.001002842344155,1.0218392440316666,2.408846855928334,229240060460.84308,495216703634.5607,113763832852.33363,251403832000.0,24525956000.0,47939338000
