Policies,Emissions,Energy
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1120, 'Modal shift:', 0, 'Scrap age:', 12, 'Regulated EV manufacture:', 1)",87.13109705,1.79176E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1120, 'Modal shift:', 0, 'Scrap age:', 10, 'Regulated EV manufacture:', 0)",110.6728677,1.81184E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1120, 'Modal shift:', 0, 'Scrap age:', 10, 'Regulated EV manufacture:', 1)",84.89395826,1.79974E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1120, 'Modal shift:', -20, 'Scrap age:', 20, 'Regulated EV manufacture:', 0)",104.1957685,1.55732E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1120, 'Modal shift:', -20, 'Scrap age:', 20, 'Regulated EV manufacture:', 1)",88.58415033,1.55163E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1120, 'Modal shift:', -20, 'Scrap age:', 18, 'Regulated EV manufacture:', 0)",100.4310988,1.52711E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1120, 'Modal shift:', -20, 'Scrap age:', 18, 'Regulated EV manufacture:', 1)",84.03130718,1.52113E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1120, 'Modal shift:', -20, 'Scrap age:', 16, 'Regulated EV manufacture:', 0)",97.88023572,1.51022E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1120, 'Modal shift:', -20, 'Scrap age:', 16, 'Regulated EV manufacture:', 1)",80.21091333,1.50373E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1120, 'Modal shift:', -20, 'Scrap age:', 14, 'Regulated EV manufacture:', 0)",96.07884376,1.50307E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1120, 'Modal shift:', -20, 'Scrap age:', 14, 'Regulated EV manufacture:', 1)",77.07291483,1.49587E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1120, 'Modal shift:', -20, 'Scrap age:', 12, 'Regulated EV manufacture:', 0)",95.18694888,1.51199E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1120, 'Modal shift:', -20, 'Scrap age:', 12, 'Regulated EV manufacture:', 1)",75.02936205,1.50365E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1120, 'Modal shift:', -20, 'Scrap age:', 10, 'Regulated EV manufacture:', 0)",94.10737152,1.52511E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1120, 'Modal shift:', -20, 'Scrap age:', 10, 'Regulated EV manufacture:', 1)",73.2784856,1.51542E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1120, 'Modal shift:', -40, 'Scrap age:', 20, 'Regulated EV manufacture:', 0)",85.89167054,1.27657E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1120, 'Modal shift:', -40, 'Scrap age:', 20, 'Regulated EV manufacture:', 1)",74.35107646,1.27237E+12
